"acres"|"acquisitioncost"|"areaname"|"agency"
2115791.62|10654442.16|"26"|"HABITAT AND PASSIVE RECREATION"
2114197.87|610020|"27"|"HABITAT AND PASSIVE RECREATION"
2115749.63|0|"28"|"HABITAT AND PASSIVE RECREATION"
189.07|0|"29"|"HABITAT AND PASSIVE RECREATION"
2114131.09|310|"30"|"HABITAT AND PASSIVE RECREATION"
2844.93|2420615.81|"31"|"HABITAT AND PASSIVE RECREATION"
2113802.63|0|"32"|"HABITAT AND PASSIVE RECREATION"
2114362.18|46571|"33"|"HABITAT AND PASSIVE RECREATION"
2113762.37|13000|"34"|"HABITAT AND PASSIVE RECREATION"
2122149.06|12504951.18|"35"|"HABITAT AND PASSIVE RECREATION"
2114571.83|0|"36"|"HABITAT AND PASSIVE RECREATION"
2134326.61|0|"37"|"HABITAT AND PASSIVE RECREATION"
2114061.23|0|"38"|"HABITAT AND PASSIVE RECREATION"
2127182.01|1756987.2|"39"|"HABITAT AND PASSIVE RECREATION"
2126434.35|17033621.51|"40"|"HABITAT AND PASSIVE RECREATION"
25320.08|2714386|"41"|"HABITAT AND PASSIVE RECREATION"
2123523.79|1332122|"42"|"HABITAT AND PASSIVE RECREATION"
2134705.17|0|"43"|"HABITAT AND PASSIVE RECREATION"
2116355.22|3230000|"44"|"HABITAT AND PASSIVE RECREATION"
2139242.26|0|"45"|"HABITAT AND PASSIVE RECREATION"
20513.46|0|"46"|"HABITAT AND PASSIVE RECREATION"
1384.19|275000|"47"|"HABITAT AND PASSIVE RECREATION"
25572.57|5203928.15|"48"|"HABITAT AND PASSIVE RECREATION"
169937.50|500000|"49"|"HABITAT AND PASSIVE RECREATION"
325.86|0|"01"|"OTHER PUBLIC"
145.42|440000|"02"|"OTHER PUBLIC"
0.36|0|"03"|"OTHER PUBLIC"
5.01|876000|"04"|"OTHER PUBLIC"
7.59|0|"05"|"OTHER PUBLIC"
196.99|0|"07"|"OTHER PUBLIC"
2291.35|0|"09"|"OTHER PUBLIC"
419.06|0|"10"|"OTHER PUBLIC"
1611.63|717939|"12"|"OTHER PUBLIC"
2808.47|0|"13"|"OTHER PUBLIC"
1024.13|0|"14"|"OTHER PUBLIC"
1.23|0|"15"|"OTHER PUBLIC"
139.28|0|"16"|"OTHER PUBLIC"
40.40|0|"17"|"OTHER PUBLIC"
10.32|0|"18"|"OTHER PUBLIC"
208.59|0|"19"|"OTHER PUBLIC"
955.07|0|"20"|"OTHER PUBLIC"
38.52|0|"22"|"OTHER PUBLIC"
484.95|2801000|"24"|"OTHER PUBLIC"
2.07|0|"26"|"OTHER PUBLIC"
94.27|0|"28"|"OTHER PUBLIC"
10.12|7600|"31"|"OTHER PUBLIC"
665.97|0|"35"|"OTHER PUBLIC"
29.58|0|"39"|"OTHER PUBLIC"
18.40|2500|"40"|"OTHER PUBLIC"
45.11|25000|"41"|"OTHER PUBLIC"
12.66|0|"42"|"OTHER PUBLIC"
325.86|0|"46"|"OTHER PUBLIC"
325.86|0|"01"|"PARKS"
1605.85|6708905.57|"02"|"PARKS"
2158.59|72346.75|"03"|"PARKS"
13953.74|841984.56|"04"|"PARKS"
6646.75|29497233.23|"05"|"PARKS"
6919.75|175122|"06"|"PARKS"
6091.30|2685633.88|"07"|"PARKS"
6905.50|1583863|"09"|"PARKS"
6882.53|56505212.74|"10"|"PARKS"
7224.95|15247572.79|"12"|"PARKS"
14340.72|7213855.03|"13"|"PARKS"
9509.12|4676731.12|"14"|"PARKS"
265.37|125018.62|"15"|"PARKS"
60.42|5|"16"|"PARKS"
1272.15|1078071.89|"18"|"PARKS"
6149.08|17430098.32|"19"|"PARKS"
3531.33|7494424.15|"20"|"PARKS"
126.98|100550|"22"|"PARKS"
141.37|68352|"23"|"PARKS"
8479.91|30141022.91|"24"|"PARKS"
1536.72|9791380.16|"26"|"PARKS"
446.47|610020|"27"|"PARKS"
291.79|310|"30"|"PARKS"
1188.28|4067405.81|"31"|"PARKS"
92.97|46772|"33"|"PARKS"
2600.11|17418296.12|"35"|"PARKS"
5575.94|23773226.08|"39"|"PARKS"
9292.83|19342847.61|"40"|"PARKS"
530.58|3426236|"41"|"PARKS"
378.38|415504|"42"|"PARKS"
325.86|0|"46"|"PARKS"
41.22|275000|"47"|"PARKS"
489.40|5203928.15|"48"|"PARKS"
244.96|0|"01"|"REVENUE"
53948.11|100000|"02"|"REVENUE"
0.16|0|"03"|"REVENUE"
8128.50|0|"04"|"REVENUE"
66885.88|28940000|"05"|"REVENUE"
3374.35|0|"06"|"REVENUE"
466575.38|24737248|"07"|"REVENUE"
6884.70|0|"08"|"REVENUE"
153071.33|27176692|"09"|"REVENUE"
57203.83|2550539|"10"|"REVENUE"
7.30|0|"11"|"REVENUE"
279618.46|0|"12"|"REVENUE"
388321.04|196732078|"13"|"REVENUE"
449531.23|94323478|"14"|"REVENUE"
22441.08|0|"15"|"REVENUE"
80521.11|20151587.62|"16"|"REVENUE"
131.37|0|"17"|"REVENUE"
70383.32|0|"18"|"REVENUE"
264554.19|38005000|"19"|"REVENUE"
259772.91|48698500|"20"|"REVENUE"
2.47|0|"21"|"REVENUE"
23.32|300000|"22"|"REVENUE"
1024.07|20000|"23"|"REVENUE"
495474.71|64115071|"24"|"REVENUE"
7.80|0|"25"|"REVENUE"
1493.66|0|"26"|"REVENUE"
0.55|0|"27"|"REVENUE"
8.60|0|"29"|"REVENUE"
29.06|0|"30"|"REVENUE"
45301.91|26955000|"31"|"REVENUE"
55.38|0|"32"|"REVENUE"
81.84|8000000|"33"|"REVENUE"
175952.73|56455000|"35"|"REVENUE"
0.15|0|"36"|"REVENUE"
0.27|0|"37"|"REVENUE"
10.04|12900000|"38"|"REVENUE"
280055.86|72998900|"39"|"REVENUE"
22008.83|735000|"40"|"REVENUE"
49.05|0|"41"|"REVENUE"
85270.98|100000|"42"|"REVENUE"
180.47|0|"44"|"REVENUE"
166.18|0|"45"|"REVENUE"
231.00|0|"47"|"REVENUE"
5.42|0|"48"|"REVENUE"
12.77|0|"49"|"REVENUE"
2134799.07|0|"01"|"STATE"
2172816.74|8378905.57|"02"|"STATE"
4735.72|72346.75|"03"|"STATE"
26502.70|1717984.56|"04"|"STATE"
2216710.08|105582733.23|"05"|"STATE"
