"acres"|"acquisitioncost"|"areaname"|"agency"
225.40|0|"Lower Spokane"|"CONSERVATION"
489.49|0|"Lyre-Hoko"|"CONSERVATION"
10759.66|215000|"Methow"|"CONSERVATION"
168.90|0|"Middle Spokane"|"CONSERVATION"
394.87|10000|"Moses Coulee"|"CONSERVATION"
619.54|7079000|"Nisqually"|"CONSERVATION"
1808.94|24000|"Nooksack"|"CONSERVATION"
28021.05|0|"Okanogan"|"CONSERVATION"
3120.93|0|"Queets-Quinault"|"CONSERVATION"
2890.77|19010000|"Quilcene-Snow"|"CONSERVATION"
822.28|0|"Rock-Glade"|"CONSERVATION"
4403.53|11999000|"Salmon-Washougal"|"CONSERVATION"
160.03|0|"San Juan"|"CONSERVATION"
957.61|5479000|"Skokomish-Dosewallips"|"CONSERVATION"
57984.72|71573500|"Snohomish"|"CONSERVATION"
212.74|0|"Soleduc"|"CONSERVATION"
19691.02|0|"Stillaguamish"|"CONSERVATION"
768.41|1899500|"Upper Chehalis"|"CONSERVATION"
122.22|0|"Upper Crab-Wilson"|"CONSERVATION"
26494.34|7010000|"Upper Skagit"|"CONSERVATION"
296.39|447000|"Upper Yakima"|"CONSERVATION"
1923.81|1464000|"Wenatchee"|"CONSERVATION"
7151.25|1189000|"Willapa"|"CONSERVATION"
7093.89|17466500|"Wind-White Salmon"|"CONSERVATION"
536.37|2251.79|"Alkali-Squilchuck"|"DEVELOPED RECREATION"
243.86|686850|"Cedar-Sammamish"|"DEVELOPED RECREATION"
132.30|8200.57|"Chelan"|"DEVELOPED RECREATION"
151.47|681113.2|"Cowlitz"|"DEVELOPED RECREATION"
127.99|404550|"Deschutes"|"DEVELOPED RECREATION"
931.23|2876561.15|"Duwamish-Green"|"DEVELOPED RECREATION"
88.65|0|"Elwha-Dungeness"|"DEVELOPED RECREATION"
4.89|0|"Entiat"|"DEVELOPED RECREATION"
2188.60|34323|"Esquatzel Coulee"|"DEVELOPED RECREATION"
415.58|13509.41|"Foster"|"DEVELOPED RECREATION"
2268.17|129117|"Grand Coulee"|"DEVELOPED RECREATION"
574.19|24000|"Grays/Elochoman"|"DEVELOPED RECREATION"
567.97|1620|"Hangman"|"DEVELOPED RECREATION"
1030.56|11165295.76|"Island"|"DEVELOPED RECREATION"
514.40|4935445.54|"Kennedy-Goldsborough"|"DEVELOPED RECREATION"
45.90|11000|"Kettle"|"DEVELOPED RECREATION"
413.14|2247186.4|"Kitsap"|"DEVELOPED RECREATION"
5822.66|649394|"Klickitat"|"DEVELOPED RECREATION"
520.54|432625.73|"Lewis"|"DEVELOPED RECREATION"
3001.38|386572.41|"Little Spokane"|"DEVELOPED RECREATION"
673.71|457157.58|"Lower Chehalis"|"DEVELOPED RECREATION"
1056.70|0|"Lower Crab"|"DEVELOPED RECREATION"
1927.03|1217419.74|"Lower Skagit / Samish"|"DEVELOPED RECREATION"
2188.69|4323|"Lower Snake"|"DEVELOPED RECREATION"
828.80|97840.75|"Lower Spokane"|"DEVELOPED RECREATION"
1379.30|58950.88|"Lower Yakima"|"DEVELOPED RECREATION"
579.73|2302500|"Lyre-Hoko"|"DEVELOPED RECREATION"
500.63|4161691.5|"Methow"|"DEVELOPED RECREATION"
1093.89|1481396|"Middle Snake"|"DEVELOPED RECREATION"
3241.18|81882.5|"Middle Spokane"|"DEVELOPED RECREATION"
153.39|0|"Moses Coulee"|"DEVELOPED RECREATION"
22.12|0|"Naches"|"DEVELOPED RECREATION"
1130.48|4430302|"Nisqually"|"DEVELOPED RECREATION"
1564.73|3448313|"Nooksack"|"DEVELOPED RECREATION"
662.24|104543.5|"Okanogan"|"DEVELOPED RECREATION"
964.44|2292|"Palouse"|"DEVELOPED RECREATION"
157.97|20000|"Pend Oreille"|"DEVELOPED RECREATION"
282.46|1262840|"Puyallup-White"|"DEVELOPED RECREATION"
94.45|457498.77|"Queets-Quinault"|"DEVELOPED RECREATION"
880.31|657233.35|"Quilcene-Snow"|"DEVELOPED RECREATION"
1072.86|3606223.38|"Salmon-Washougal"|"DEVELOPED RECREATION"
3783.17|1225797.29|"San Juan"|"DEVELOPED RECREATION"
52.99|0|"Sanpoil"|"DEVELOPED RECREATION"
455.19|1925369.33|"Skokomish-Dosewallips"|"DEVELOPED RECREATION"
4912.17|23047877.88|"Snohomish"|"DEVELOPED RECREATION"
121.38|192254.68|"Soleduc"|"DEVELOPED RECREATION"
1.05|0|"Stillaguamish"|"DEVELOPED RECREATION"
1961.84|2933001.71|"Upper Chehalis"|"DEVELOPED RECREATION"
432.40|134100|"Upper Skagit"|"DEVELOPED RECREATION"
1605.69|3572010.47|"Upper Yakima"|"DEVELOPED RECREATION"
250.30|2|"Walla Walla"|"DEVELOPED RECREATION"
303.74|908607.48|"Wenatchee"|"DEVELOPED RECREATION"
2850.59|7231702.71|"Willapa"|"DEVELOPED RECREATION"
123536.77|17609840|"Alkali-Squilchuck"|"DFW"
94.27|0|"Chambers-Clover"|"DFW"
9726.37|700000|"Chelan"|"DFW"
7285.83|0|"Cowlitz"|"DFW"
182.88|304000|"Deschutes"|"DFW"
551.95|3295300|"Elwha-Dungeness"|"DFW"
12496.14|0|"Entiat"|"DFW"
3929.14|1402000|"Esquatzel Coulee"|"DFW"
9814.67|1519600|"Foster"|"DFW"
4501.83|0|"Grand Coulee"|"DFW"
952.70|479000|"Grays/Elochoman"|"DFW"
166.41|335000|"Island"|"DFW"
168.14|434000|"Kennedy-Goldsborough"|"DFW"
4274.05|37000|"Kettle"|"DFW"
4457.96|3937600|"Kitsap"|"DFW"
13652.28|600774|"Klickitat"|"DFW"
794.13|0|"Lewis"|"DFW"
2849.08|9100000|"Little Spokane"|"DFW"
4003.09|1529526|"Lower Chehalis"|"DFW"
31836.36|201160|"Lower Crab"|"DFW"
8349.71|2281700|"Lower Skagit / Samish"|"DFW"
275.19|350000|"Lower Spokane"|"DFW"
13193.91|1714050|"Lower Yakima"|"DFW"
33301.41|28756845|"Methow"|"DFW"
3877.55|0|"Middle Lake Roosevelt"|"DFW"
64130.21|20213646|"Middle Snake"|"DFW"
5.01|876000|"Middle Spokane"|"DFW"
7041.55|120000|"Moses Coulee"|"DFW"
59891.98|20679747|"Naches"|"DFW"
591.25|0|"Nisqually"|"DFW"
2870.08|1345122|"Nooksack"|"DFW"
44536.61|22438912|"Okanogan"|"DFW"
2885.69|266200|"Palouse"|"DFW"
776.25|0|"Pend Oreille"|"DFW"
36.70|447600|"Puyallup-White"|"DFW"
609.72|2919500|"Quilcene-Snow"|"DFW"
2491.05|500000|"Salmon-Washougal"|"DFW"
154.66|0|"San Juan"|"DFW"
52.99|0|"Sanpoil"|"DFW"
435.11|0|"Skokomish-Dosewallips"|"DFW"
2463.18|3230000|"Snohomish"|"DFW"
45.60|0|"Soleduc"|"DFW"
3.12|20000|"Stillaguamish"|"DFW"
2221.88|3395000|"Upper Chehalis"|"DFW"
19525.31|350000|"Upper Crab-Wilson"|"DFW"
2863.75|0|"Upper Skagit"|"DFW"
182895.68|24933027|"Upper Yakima"|"DFW"
2103.61|0|"Walla Walla"|"DFW"
37550.49|2350000|"Wenatchee"|"DFW"
5122.07|4304610|"Willapa"|"DFW"
232.65|475500|"Wind-White Salmon"|"DFW"
59816.94|0|"Alkali-Squilchuck"|"DNR AQUATIC"
2140349.85|0|"Cedar-Sammamish"|"DNR AQUATIC"
2114815.99|0|"Chambers-Clover"|"DNR AQUATIC"
92165.98|0|"Chelan"|"DNR AQUATIC"
3403.17|0|"Colville"|"DNR AQUATIC"
174559.67|0|"Cowlitz"|"DNR AQUATIC"
2114975.28|0|"Deschutes"|"DNR AQUATIC"
2115591.96|0|"Duwamish-Green"|"DNR AQUATIC"
2114205.59|192921|"Elwha-Dungeness"|"DNR AQUATIC"
59816.94|0|"Entiat"|"DNR AQUATIC"
59954.17|0|"Esquatzel Coulee"|"DNR AQUATIC"
59816.94|0|"Foster"|"DNR AQUATIC"
4339.18|0|"Grand Coulee"|"DNR AQUATIC"
168058.37|0|"Grays/Elochoman"|"DNR AQUATIC"
2649.54|0|"Hangman"|"DNR AQUATIC"
2114013.24|42075|"Island"|"DNR AQUATIC"
2116291.30|0|"Kennedy-Goldsborough"|"DNR AQUATIC"
860.14|0|"Kettle"|"DNR AQUATIC"
2115248.85|1803000|"Kitsap"|"DNR AQUATIC"
15986.19|0|"Klickitat"|"DNR AQUATIC"
170178.09|0|"Lewis"|"DNR AQUATIC"
4651.09|0|"Little Spokane"|"DNR AQUATIC"
2282892.03|509000|"Lower Chehalis"|"DNR AQUATIC"
66546.35|0|"Lower Crab"|"DNR AQUATIC"
2124515.05|115950|"Lower Skagit / Samish"|"DNR AQUATIC"
59816.94|0|"Lower Snake"|"DNR AQUATIC"
2598.08|0|"Lower Spokane"|"DNR AQUATIC"
59816.94|0|"Lower Yakima"|"DNR AQUATIC"
2113719.15|0|"Lyre-Hoko"|"DNR AQUATIC"
1742.38|0|"Methow"|"DNR AQUATIC"
69479.88|0|"Middle Snake"|"DNR AQUATIC"
4246.55|0|"Middle Spokane"|"DNR AQUATIC"
60460.77|0|"Moses Coulee"|"DNR AQUATIC"
59816.94|0|"Naches"|"DNR AQUATIC"
2116155.55|0|"Nisqually"|"DNR AQUATIC"
2118822.23|0|"Nooksack"|"DNR AQUATIC"
8049.47|0|"Okanogan"|"DNR AQUATIC"
65355.33|0|"Palouse"|"DNR AQUATIC"
13265.62|0|"Pend Oreille"|"DNR AQUATIC"
2115883.69|0|"Puyallup-White"|"DNR AQUATIC"
2114730.98|0|"Queets-Quinault"|"DNR AQUATIC"
2114253.39|0|"Quilcene-Snow"|"DNR AQUATIC"
80779.66|0|"Rock-Glade"|"DNR AQUATIC"
167571.47|0|"Salmon-Washougal"|"DNR AQUATIC"
2113832.67|0|"San Juan"|"DNR AQUATIC"
87.42|0|"Sanpoil"|"DNR AQUATIC"
2116108.73|0|"Skokomish-Dosewallips"|"DNR AQUATIC"
2117983.23|0|"Snohomish"|"DNR AQUATIC"
2116434.72|0|"Soleduc"|"DNR AQUATIC"
2114901.84|0|"Stillaguamish"|"DNR AQUATIC"
2114532.33|0|"Upper Chehalis"|"DNR AQUATIC"
1592.27|0|"Upper Crab-Wilson"|"DNR AQUATIC"
674.08|0|"Upper Lake Roosevelt"|"DNR AQUATIC"
7620.98|0|"Upper Skagit"|"DNR AQUATIC"
71307.05|0|"Upper Yakima"|"DNR AQUATIC"
59816.94|0|"Walla Walla"|"DNR AQUATIC"
64041.02|0|"Wenatchee"|"DNR AQUATIC"
173775.21|0|"Willapa"|"DNR AQUATIC"
175200.94|0|"Wind-White Salmon"|"DNR AQUATIC"
124778.04|56555000|"Alkali-Squilchuck"|"DNR UPLANDS"
53358.95|48992000|"Cedar-Sammamish"|"DNR UPLANDS"
