acres,areaname,agency
323688.21,31,LEG-LANDUSE
5469.06,40,CONSERVATION
0,27,LEG-ACQ
0,8,LEG-ACQ
15583.1,19,CONSERVATION
17.43,28,HABITAT AND PASSIVE RECREATION
203464.94,2,UNKNOWN
319.48,42,LEG-ACQ
2857.39,19,DEVELOPED RECREATION
4315.7,1,LEG-LANDUSE
133.99,40,AQ-PARKS
162419.39,19,REVENUE
3149751.12,12,LEG-LANDUSE
118263.92,35,REVENUE
243980.2,5,LEG-LANDUSE
3859.14,7,AQ-DNR
2256.85,9,OTHER PUBLIC
14141.41,27,UNKNOWN
18.4,40,OTHER PUBLIC
369.34,40,AQ-DFW
85750.56,23,LEG-OWNER
379.29,45,HABITAT AND PASSIVE RECREATION
2347.85,43,LEG-OWNER
233132.88,2,LEG-LANDUSE
4345.21,6,HABITAT AND PASSIVE RECREATION
0.83,6,AQ-PARKS
9526.23,40,HABITAT AND PASSIVE RECREATION
2632.71,25,LEG-OWNER
58978.04,14,AQ-DNR
534489.92,9,LEG-LANDUSE
0,29,LEG-ACQ
836.57,20,CONSERVATION
414536.12,24,REVENUE
7.11,11,REVENUE
0.79,8,DFW
25.28,5,DFW
40.78,47,PARKS
202.94,17,DNR UPLANDS
289.65,46,PARKS
379.59,42,PARKS
2598.97,28,CITY-COUNTY
4086.92,44,CITY-COUNTY
4287.74,27,CITY-COUNTY
4726.74,30,DNR AQUATIC
6755.25,9,PARKS
6909.62,4,CITY-COUNTY
9691.9,2,CITY-COUNTY
12922.16,36,DNR AQUATIC
29007.07,7,DNR AQUATIC
81798.12,42,DNR UPLANDS
149065.13,9,DNR UPLANDS
228158.96,10,DNR AQUATIC
260891.81,12,DNR UPLANDS
428596.11,24,DNR UPLANDS
526221.12,20,FEDERAL
871112.08,42,FEDERAL
1370429.24,39,FEDERAL
1779681.12,7,FEDERAL
2344.44,17,LEG-LANDUSE
167248.28,5,UNKNOWN
1381.87,6,DEVELOPED RECREATION
2317455.02,7,LEG-OWNER
16266.2,31,CONSERVATION
808,44,AQ-DFW
5.01,4,OTHER PUBLIC
13.51,23,LEG-ACQ
45657.29,18,LEG-OWNER
1213.31,10,DEVELOPED RECREATION
850.53,18,DEVELOPED RECREATION
609.21,26,DEVELOPED RECREATION
321.14,19,AQ-PARKS
308.86,10,AQ-PARKS
546.85,2,AQ-PARKS
10814.8,9,AQ-DNR
254531.55,12,REVENUE
531.62,18,HABITAT AND PASSIVE RECREATION
259339.79,35,UNKNOWN
0,1,LEG-ACQ
1854.68,13,OTHER PUBLIC
