"acres"|"acquisitioncost"|"wria_nm"|"agency"
26639.6|4992867.39|"Lower Spokane"|"PARKS"
1671.04|378615.12|"Lower Yakima"|"PARKS"
3183.96|12914240|"Lyre-Hoko"|"PARKS"
4834.1|45588899.52|"Methow"|"PARKS"
1664.48|2962792|"Middle Snake"|"PARKS"
33749.46|1851210.12|"Middle Spokane"|"PARKS"
5648.52|25417622.28|"Nisqually"|"PARKS"
13012.39|45492182.8|"Nooksack"|"PARKS"
96.1|341987|"Okanogan"|"PARKS"
25673.65|275233|"Palouse"|"PARKS"
395.22|40002|"Pend Oreille"|"PARKS"
3937.82|9309774.44|"Puyallup-White"|"PARKS"
2044.93|6197564.7|"Queets-Quinault"|"PARKS"
17318.9|56517059.88|"Quilcene-Snow"|"PARKS"
18927.34|11278563.74|"Salmon-Washougal"|"PARKS"
21878.53|22220362.78|"San Juan"|"PARKS"
2697.79|7425165.72|"Skokomish-Dosewallips"|"PARKS"
22207.12|76872604.16|"Snohomish"|"PARKS"
1614.23|8797509.36|"Soleduc"|"PARKS"
3806.04|596470|"Stillaguamish"|"PARKS"
5503.64|8766525.42|"Upper Chehalis"|"PARKS"
2742.07|24324201|"Upper Skagit"|"PARKS"
11383.1|12067916.48|"Upper Yakima"|"PARKS"
72.86|4|"Walla Walla"|"PARKS"
1891.04|5041905.96|"Wenatchee"|"PARKS"
15727.62|51195017.74|"Willapa"|"PARKS"
