acres,areaname,agency
9.92,Nespelem,CITY-COUNTY
156.92,Kennedy-Goldsborough,DFW
197.61,Pend Oreille,PARKS
482.37,Wenatchee,PARKS
569.61,Nisqually,DFW
609.72,Quilcene-Snow,DFW
643.46,Walla Walla,DFW
719.83,Queets-Quinault,PARKS
776.25,Pend Oreille,DFW
1009.04,Entiat,DNR AQUATIC
1155.58,Colville,CITY-COUNTY
1592.27,Upper Crab-Wilson,DNR AQUATIC
1611.5,Upper Crab-Wilson,CITY-COUNTY
2201.16,Upper Chehalis,DNR AQUATIC
2356.01,Middle Spokane,DNR AQUATIC
3916.12,Okanogan,CITY-COUNTY
4003.09,Lower Chehalis,DFW
4339.18,Grand Coulee,DNR AQUATIC
5179.57,Lower Spokane,FEDERAL
6015.03,Grand Coulee,PARKS
6827.47,Middle Spokane,PARKS
7441.79,Entiat,DFW
7745.8,Hangman,CITY-COUNTY
7929.18,Little Spokane,CITY-COUNTY
9864.18,Esquatzel Coulee,DNR AQUATIC
11383.49,Stillaguamish,DNR AQUATIC
19420.28,Upper Crab-Wilson,DFW
26275.62,Rock-Glade,DNR AQUATIC
29662.46,Lower Spokane,DNR UPLANDS
30572.32,Elwha-Dungeness,DNR UPLANDS
32744.98,Esquatzel Coulee,DNR UPLANDS
44112.56,Snohomish,CITY-COUNTY
44292.21,Kettle,DNR UPLANDS
46637.89,Palouse,FEDERAL
56508.3,Moses Coulee,FEDERAL
59863.83,Rock-Glade,DNR UPLANDS
69735.66,Cowlitz,DNR UPLANDS
137557.86,Willapa,DNR AQUATIC
246280.66,Okanogan,DNR UPLANDS
331360.43,Elwha-Dungeness,FEDERAL
519469.74,Pend Oreille,FEDERAL
587428.82,Upper Yakima,FEDERAL
0.73,Okanogan,AQ-PARKS
3877.55,Middle Lake Roosevelt,HABITAT AND PASSIVE RECREATION
29437.06,Lower Spokane,REVENUE
47864.27,Kennedy-Goldsborough,WRIA-OWNER
203203.88,Island,UNKNOWN
49332.24,Lower Spokane,WRIA-LANDUSE
543.64,Kitsap,AQ-DFW
