"acres"|"acquisitioncost"|"areaname"|"agency"
3107.83|7595.5|"Franklin"|"DEVELOPED RECREATION"
7374.7|7679203.4|"Grant"|"DEVELOPED RECREATION"
1635.74|2201487.14|"Grays Harbor"|"DEVELOPED RECREATION"
4427.3|30373927.76|"Island"|"DEVELOPED RECREATION"
2668.61|2891255.61|"Jefferson"|"DEVELOPED RECREATION"
6648.94|25649631.86|"King"|"DEVELOPED RECREATION"
803.28|2423907|"Kitsap"|"DEVELOPED RECREATION"
4247.95|4115240.61|"Kittitas"|"DEVELOPED RECREATION"
5842.86|909394|"Klickitat"|"DEVELOPED RECREATION"
1745.48|2558634.35|"Lewis"|"DEVELOPED RECREATION"
1318.54|11905723.52|"Mason"|"DEVELOPED RECREATION"
2476.03|10782899.09|"Okanogan"|"DEVELOPED RECREATION"
3874.12|8499524.34|"Pacific"|"DEVELOPED RECREATION"
157.97|20000|"Pend Oreille"|"DEVELOPED RECREATION"
2623.29|11398933.54|"Pierce"|"DEVELOPED RECREATION"
4711.75|1231197.29|"San Juan"|"DEVELOPED RECREATION"
2332.36|3195153.13|"Skagit"|"DEVELOPED RECREATION"
3613.6|3531579.49|"Skamania"|"DEVELOPED RECREATION"
2735.1|11572739.88|"Snohomish"|"DEVELOPED RECREATION"
14984.3|802948.16|"Spokane"|"DEVELOPED RECREATION"
5.46|6000|"Stevens"|"DEVELOPED RECREATION"
1957.46|5632759|"Thurston"|"DEVELOPED RECREATION"
197.87|24000|"Wahkiakum"|"DEVELOPED RECREATION"
213.87|0|"Walla Walla"|"DEVELOPED RECREATION"
3326.69|10356797.7|"Whatcom"|"DEVELOPED RECREATION"
1285.93|66399.5|"Whitman"|"DEVELOPED RECREATION"
1217.8|110239.82|"Yakima"|"DEVELOPED RECREATION"
1250.39|427800|"Adams"|"DFW"
64848.47|30362282|"Asotin"|"DFW"
5764.82|0|"Benton"|"DFW"
50286.62|3312000|"Chelan"|"DFW"
704.66|4417700|"Clallam"|"DFW"
2992.91|500000|"Clark"|"DFW"
15279.43|1722000|"Columbia"|"DFW"
7908.45|0|"Cowlitz"|"DFW"
17324.22|1689600|"Douglas"|"DFW"
3877.55|0|"Ferry"|"DFW"
2438.08|1732600|"Franklin"|"DFW"
12011.89|1840000|"Garfield"|"DFW"
35146.08|351160|"Grant"|"DFW"
5845.51|5669526|"Grays Harbor"|"DFW"
184.32|670000|"Island"|"DFW"
1029.01|3589000|"Jefferson"|"DFW"
404.57|0|"King"|"DFW"
1086|1298000|"Kitsap"|"DFW"
276499.74|61116566|"Kittitas"|"DFW"
13962.93|1112048|"Klickitat"|"DFW"
2220.77|1235000|"Lewis"|"DFW"
19236.27|350000|"Lincoln"|"DFW"
769.44|3359200|"Mason"|"DFW"
98992.7999999999|100773102|"Okanogan"|"DFW"
5573.63|4874610|"Pacific"|"DFW"
3555.77|9100000|"Pend Oreille"|"DFW"
3376.3|447600|"Pierce"|"DFW"
154.66|0|"San Juan"|"DFW"
11362.19|4039700|"Skagit"|"DFW"
61.21|0|"Skamania"|"DFW"
5013.16|6500000|"Snohomish"|"DFW"
74.57|876000|"Spokane"|"DFW"
2972.35|6129000|"Thurston"|"DFW"
362.46|479000|"Wahkiakum"|"DFW"
213.87|0|"Walla Walla"|"DFW"
3299.24|2833122|"Whatcom"|"DFW"
2279.12|0|"Whitman"|"DFW"
156679.53|37384628|"Yakima"|"DFW"
61747.86|0|"Adams"|"DNR AQUATIC"
9662.94|0|"Asotin"|"DNR AQUATIC"
72860.32|0|"Benton"|"DNR AQUATIC"
96390.06|0|"Chelan"|"DNR AQUATIC"
2116927.78|192921|"Clallam"|"DNR AQUATIC"
169304.67|0|"Clark"|"DNR AQUATIC"
66529.6|0|"Columbia"|"DNR AQUATIC"
173259.26|0|"Cowlitz"|"DNR AQUATIC"
60460.77|0|"Douglas"|"DNR AQUATIC"
947.56|0|"Ferry"|"DNR AQUATIC"
59954.17|0|"Franklin"|"DNR AQUATIC"
6712.66|0|"Garfield"|"DNR AQUATIC"
71314.19|0|"Grant"|"DNR AQUATIC"
2284268.7|509000|"Grays Harbor"|"DNR AQUATIC"
2114013.24|42075|"Island"|"DNR AQUATIC"
2116433.77|0|"Jefferson"|"DNR AQUATIC"
2143833.13|13000|"King"|"DNR AQUATIC"
2114806.8|20000|"Kitsap"|"DNR AQUATIC"
71307.05|0|"Kittitas"|"DNR AQUATIC"
29029.57|0|"Klickitat"|"DNR AQUATIC"
2119415.27|0|"Lewis"|"DNR AQUATIC"
5156.07|0|"Lincoln"|"DNR AQUATIC"
2118557.16|860000|"Mason"|"DNR AQUATIC"
69608.79|0|"Okanogan"|"DNR AQUATIC"
2287552.97|0|"Pacific"|"DNR AQUATIC"
17947.74|0|"Pend Oreille"|"DNR AQUATIC"
2118681.37|910000|"Pierce"|"DNR AQUATIC"
2113832.67|0|"San Juan"|"DNR AQUATIC"
2124952.69|115950|"Skagit"|"DNR AQUATIC"
177149.89|0|"Skamania"|"DNR AQUATIC"
2124304.64|0|"Snohomish"|"DNR AQUATIC"
6932.31|0|"Spokane"|"DNR AQUATIC"
6182.33|0|"Stevens"|"DNR AQUATIC"
2117717.97|0|"Thurston"|"DNR AQUATIC"
169311.93|0|"Wahkiakum"|"DNR AQUATIC"
59816.94|0|"Walla Walla"|"DNR AQUATIC"
2126830.43|0|"Whatcom"|"DNR AQUATIC"
69862.34|0|"Whitman"|"DNR AQUATIC"
59816.94|0|"Yakima"|"DNR AQUATIC"
56516.23|614300|"Adams"|"DNR UPLANDS"
13585.79|288250|"Asotin"|"DNR UPLANDS"
53522.34|19726587.62|"Benton"|"DNR UPLANDS"
42932.59|1464000|"Chelan"|"DNR UPLANDS"
184646.08|25712000|"Clallam"|"DNR UPLANDS"
77750.59|6257000|"Clark"|"DNR UPLANDS"
10830.27|425000|"Columbia"|"DNR UPLANDS"
139868.19|107500|"Cowlitz"|"DNR UPLANDS"
105156.55|10000|"Douglas"|"DNR UPLANDS"
35199.89|4622170|"Ferry"|"DNR UPLANDS"
33950.5|17287972|"Franklin"|"DNR UPLANDS"
11154.35|600000|"Garfield"|"DNR UPLANDS"
97267.06|7750000|"Grant"|"DNR UPLANDS"
153639.45|40665350|"Grays Harbor"|"DNR UPLANDS"
453.44|5718742|"Island"|"DNR UPLANDS"
272054.9|62229242.53|"Jefferson"|"DNR UPLANDS"
140021.04|179830903.25|"King"|"DNR UPLANDS"
19357.23|24708650|"Kitsap"|"DNR UPLANDS"
266510.29|198979290.77|"Kittitas"|"DNR UPLANDS"
130959.75|20879500|"Klickitat"|"DNR UPLANDS"
180218.87|54296103.53|"Lewis"|"DNR UPLANDS"
50464.06|2558100|"Lincoln"|"DNR UPLANDS"
71591.38|31475400|"Mason"|"DNR UPLANDS"
326447.28|23424148|"Okanogan"|"DNR UPLANDS"
119587.48|39944000|"Pacific"|"DNR UPLANDS"
47696.3|0|"Pend Oreille"|"DNR UPLANDS"
72577.07|13312935.15|"Pierce"|"DNR UPLANDS"
1193.36|0|"San Juan"|"DNR UPLANDS"
175085.99|62120389|"Skagit"|"DNR UPLANDS"
166102.15|22830277.28|"Skamania"|"DNR UPLANDS"
241705.25|77421439|"Snohomish"|"DNR UPLANDS"
27052.3|225000|"Spokane"|"DNR UPLANDS"
164459.83|6175270|"Stevens"|"DNR UPLANDS"
115809.06|44455500|"Thurston"|"DNR UPLANDS"
61490.24|667000|"Wahkiakum"|"DNR UPLANDS"
19247.27|0|"Walla Walla"|"DNR UPLANDS"
102248.51|124000|"Whatcom"|"DNR UPLANDS"
41261.04|8926170|"Whitman"|"DNR UPLANDS"
265813.09|92993678|"Yakima"|"DNR UPLANDS"
62402.98|0|"Adams"|"FEDERAL"
671400.25|0|"Asotin"|"FEDERAL"
137107.94|0|"Benton"|"FEDERAL"
4802840.91|0|"Chelan"|"FEDERAL"
2060536.35|0|"Clallam"|"FEDERAL"
1042384.88|0|"Clark"|"FEDERAL"
657280.7|0|"Columbia"|"FEDERAL"
