"acres"|"acquisitioncost"|"areaname"|"agency"
1234960.23|0|"9"|"PROPOSED DNR"
1476858.93|0|"1"|"PROPOSED PARKS"
1399963.88|0|"10"|"PROPOSED PARKS"
1476858.93|0|"11"|"PROPOSED PARKS"
1476858.93|0|"12"|"PROPOSED PARKS"
1476858.93|0|"13"|"PROPOSED PARKS"
1155413.62|0|"14"|"PROPOSED PARKS"
1434125.57|0|"19"|"PROPOSED PARKS"
1155413.62|0|"2"|"PROPOSED PARKS"
2589539.19|0|"20"|"PROPOSED PARKS"
1828091.56|0|"22"|"PROPOSED PARKS"
2876822.81|0|"23"|"PROPOSED PARKS"
3506767.39|0|"24"|"PROPOSED PARKS"
1155413.62|0|"25"|"PROPOSED PARKS"
3304950.49|0|"26"|"PROPOSED PARKS"
2632272.55|0|"27"|"PROPOSED PARKS"
1155413.62|0|"28"|"PROPOSED PARKS"
1155413.62|0|"29"|"PROPOSED PARKS"
2632272.55|0|"30"|"PROPOSED PARKS"
2632272.55|0|"31"|"PROPOSED PARKS"
1476858.93|0|"32"|"PROPOSED PARKS"
1476858.93|0|"33"|"PROPOSED PARKS"
2632272.55|0|"34"|"PROPOSED PARKS"
4662181.01|0|"35"|"PROPOSED PARKS"
1476858.93|0|"36"|"PROPOSED PARKS"
1476858.93|0|"37"|"PROPOSED PARKS"
1476858.93|0|"39"|"PROPOSED PARKS"
1476858.93|0|"41"|"PROPOSED PARKS"
1476858.93|0|"43"|"PROPOSED PARKS"
1476858.93|0|"45"|"PROPOSED PARKS"
1476858.93|0|"46"|"PROPOSED PARKS"
1476858.93|0|"47"|"PROPOSED PARKS"
1476858.93|0|"48"|"PROPOSED PARKS"
1476858.93|0|"5"|"PROPOSED PARKS"
244.96|0|"1"|"REVENUE"
57203.83|2550539|"10"|"REVENUE"
7.30|0|"11"|"REVENUE"
279618.46|0|"12"|"REVENUE"
388321.04|196732078|"13"|"REVENUE"
449531.23|94323478|"14"|"REVENUE"
22441.08|0|"15"|"REVENUE"
79407.37|20151587.62|"16"|"REVENUE"
131.37|0|"17"|"REVENUE"
70383.32|0|"18"|"REVENUE"
264554.19|38005000|"19"|"REVENUE"
53948.11|100000|"2"|"REVENUE"
259772.91|48698500|"20"|"REVENUE"
2.47|0|"21"|"REVENUE"
23.32|300000|"22"|"REVENUE"
1024.07|20000|"23"|"REVENUE"
495474.71|64115071|"24"|"REVENUE"
7.80|0|"25"|"REVENUE"
1493.66|0|"26"|"REVENUE"
0.55|0|"27"|"REVENUE"
8.60|0|"29"|"REVENUE"
0.16|0|"3"|"REVENUE"
29.06|0|"30"|"REVENUE"
45301.91|26955000|"31"|"REVENUE"
55.38|0|"32"|"REVENUE"
81.84|8000000|"33"|"REVENUE"
175952.73|56455000|"35"|"REVENUE"
0.15|0|"36"|"REVENUE"
0.27|0|"37"|"REVENUE"
10.04|12900000|"38"|"REVENUE"
280055.86|72998900|"39"|"REVENUE"
8128.50|0|"4"|"REVENUE"
22008.83|735000|"40"|"REVENUE"
49.05|0|"41"|"REVENUE"
84141.67|100000|"42"|"REVENUE"
180.47|0|"44"|"REVENUE"
166.18|0|"45"|"REVENUE"
231.00|0|"47"|"REVENUE"
5.42|0|"48"|"REVENUE"
12.77|0|"49"|"REVENUE"
66885.88|28940000|"5"|"REVENUE"
3374.35|0|"6"|"REVENUE"
467005.40|24737248|"7"|"REVENUE"
6884.70|0|"8"|"REVENUE"
152843.44|27176692|"9"|"REVENUE"
2134799.07|0|"1"|"STATE"
2188082.95|61320526.74|"10"|"STATE"
2114564.21|0|"11"|"STATE"
512580.92|53694206.79|"12"|"STATE"
777602.69|240903960.03|"13"|"STATE"
783703.44|144332072.12|"14"|"STATE"
87924.16|572268.62|"15"|"STATE"
179905.23|21333592.62|"16"|"STATE"
167782.68|1488000|"17"|"STATE"
241450.79|5990071.89|"18"|"STATE"
2587519.36|69703759.32|"19"|"STATE"
2172816.74|8378905.57|"2"|"STATE"
2564844.06|64445924.15|"20"|"STATE"
